Curia; Curia Romana; Roman Curia   	羅馬教廷
Cyprian of Carthage, St(ca.200-258)   	聖西彼廉
Cyril of Alexandria, St (d.444)   	濟利祿•亞力山卓；（新教或其它譯名）亞里山大的悉里爾（基）  
Cyril of Jerusalem, St(ca.313-386)   	濟利祿•耶路撒冷；（新教或其它譯名）耶路撒冷的悉里爾（基）  
Damage   	損壞
Damasus I (366-384)   	達瑪甦一世
Damnation   	永罰
Daniel(Dn)   	達尼爾（達）；（新教或其它譯名）但以理書（但）  
Daoism; Taoism   	道教
Daoism; Taoism   	道家
De Dominica oratione   	論主禱文
De Genesi contra Manichaeos   	論創世紀─駁斥摩尼派異端
De Spiritu Sancto   	論聖神
De Trinitat   	論聖三
De Trinitate   	論聖三
De arca Noe   	論諾厄方舟
De catechizandis rudibus   	教理蒙訓
De civitate Dei   	天主之城
De diversis quaestionibus octoginta tribus   	論八十三個不同的問題
De ecclesiae catholicae unitate   	論公教會的統一
De fide et symbolo   	論信德與信經
De fide orthodoxa   	論正統信仰
De gratia et libero arbitrio   	論恩寵與人之自由
De incarnatione   	論道成人身
De incomprehensibli Dei natura seu contra Anomoeos   	論天主性不能徹悟
De jure divino   	來自神的規定
De libero arbitrio   	論人之自由
De mendacio   	論謊言
De millenarismo (19 July 1944) Decree   	〈千年論〉法令
De moribus ecclesiae catholicae   	論至公教會的習俗
De mysteriis   	論奧跡
De natura et gratia   	論本性與天主的恩寵
De officiis ministrorum   	論服務者的職務
De oratione   	論祈禱
De ordine sepulturae   	論殯葬禮
De paenitentia   	論懺悔
De paschate   	論逾越
De paschate   	論逾越節
De praedestinatione sanctorum   	論天主對聖人們的預定
De proditione Judae   	論猶達斯負賣耶穌
De resurrectione carnis   	論肉身之復活
De sacerdotio   	論司祭職
De sacramentis   	論聖事
