Pope John XI 	教宗若望十一世，由公元931年至935年任第一百二十六任教宗
Pope Leo VII	教宗良七世，由公元936年至939年任第一百二十七任教宗
Pope Stephen IX	教宗德範九世，由公元939年至942年任第一百二十八任教宗
Pope Marinus II	教宗馬林二世，由公元942年至946年任第一百二十九任教宗
Pope Agapetus II	教宗亞加二世，由公元946年至955年任第一百三十任教宗
Pope John XII	教宗若望十二世，由公元955年至964年任第一百三十一任教宗
Pope Leo VIII 	教宗良八世，由公元963年至965  (963?)年任第一百三十二任教宗
Pope Benedict V	教宗本篤五世，由公元964年至966年任第一百三十三任教宗
Pope John XIII	教宗若望十三世，由公元965年至972年任第一百三十四任教宗
Pope Benedict VI	教宗本篤六世，由公元973年至974年任第一百三十五任教宗
Pope Boniface VII	偽教宗博義七世，由公元974 / 984年至985年任偽教宗
Pope Benedict VII	教宗本篤七世，由公元974年至983年任第一百三十六任教宗
Pope John XIV	教宗若望十四世，由公元983年至984年任第一百三十七任教宗
Pope John XV	教宗若望十五世，由公元985年至996年任第一百三十八任教宗
Pope Gregory V	教宗國瑞五世，由公元996年至999年任第一百三十九任教宗
Pope John XVI	偽教宗若望十六世，由公元997年至998年任偽教宗
Pope Sylvester II	教宗思維二世，由公元999年至1003年任第一百四十任教宗
Pope John XVII	教宗若望十七世，公元1003年任第一百四十一任教宗
Pope John XVIII	教宗若望十八世，由公元1004年至1009年任第一百四十二任教宗
Pope Sergius IV	教宗思齊四世，由公元1009年至1012年任第一百四十三任教宗
Pope Benedict VIII	教宗本篤八世，由公元1012年至1024年任第一百四十四任教宗
Pope Gregory	偽教宗國瑞，公元1012年任偽教宗
Pope John XIX	教宗若望十九世，由公元1024年至1032年任第一百四十五任教宗
Pope Benedict IX	教宗本篤九世，由公元1032年至1044年任第一百四十六任教宗
Pope Sylvester III	教宗思維三世，公元1045年任第一百四十七任教宗
Pope Benedict IX ()	教宗本篤九世 (復位)，公元1045年任第一百四十八任教宗
Pope Gregory VI	教宗國瑞六世，由公元1045年至1046年任第一百四十九任教宗
Pope Clement II	教宗克勉二世，由公元1046年至1047年任第一百五十任教宗
Pope Benedict IX ()	教宗本篤九世 (三任)，由公元1047年至1048年任第一百五十一任教宗
Pope Damasus II	教宗達甦二世，公元1048年任第一百五十二任教宗
Pope St. Leo IX	教宗聖良九世，由公元1049年至1054年任第一百五十三任教宗
Pope Victor II	教宗維篤二世，由公元1055年至1057年任第一百五十四任教宗
Pope Stephen X	教宗德範十世，由公元1057年至1058年任第一百五十五任教宗
Pope Benedict X	偽教宗本篤十世，由公元1058年至1059年任偽教宗
Pope Nicholas II	教宗尼閣二世，由公元1059年至1061年任第一百五十六任教宗
Pope Alexander II	教宗歷山二世，由公元1061年至1073年任第一百五十七任教宗
Pope Honorius II	偽教宗何諾二世，由公元1061年至1072年任偽教宗
Pope St. Gregory VII	教宗聖國瑞七世，由公元1073年至1085年任第一百五十八任教宗
Pope Clement III	偽教宗克勉三世，由公元1084年至1100年任偽教宗
Pope Bl. Victor III	教宗真褔維篤三世，由公元1086年至1087年任第一百五十九任教宗
Pope Urban II	教宗伍朋二世，由公元1088年至1099年任第一百六十任教宗
